ax   ay   az   gx   gy   gz   mx   my   mz
time 8:53:21	mag_center= 610 180 400		radii = 1.000000 1.000000 1.000000		fitacry = 0.000000 0.000000
-432 382 794 -302 -117 -69 -220 -278 -2433 
-439 363 831 -320 -127 -59 -226 -278 -2408 
-433 372 812 -378 -117 -11 -209 -295 -2395 
-433 400 829 -71 0 -1024 -226 -307 -2409 
162 507 696 -201 -50 4 -220 -330 -2390 
439 325 977 -190 5 -42 -232 -347 -2377 
276 409 869 -195 27 1 -238 -347 -2352 
412 372 945 -79 62 52 -238 -370 -2346 
394 436 847 -78 26 47 -209 -399 -2333 
323 424 816 55 38 39 -226 -394 -2301 
375 341 997 44 85 27 -220 -388 -2314 
299 366 831 47 89 38 -209 -399 -2269 
300 357 905 95 29 32 -197 -388 -2295 
290 334 945 -18 -44 -11 -214 -388 -2270 
285 376 901 -8 -45 -11 -209 -388 -2308 
286 390 891 6 -71 -13 -226 -376 -2315 
278 427 861 13 -88 -14 -214 -394 -2346 
243 456 856 24 -62 -5 -220 -376 -2353 
269 400 920 39 19 7 -232 -376 -2341 
280 452 885 30 4 1 -214 -371 -2367 
265 403 941 29 -12 -3 -238 -376 -2341 
241 405 905 7 -4 3 -226 -365 -2360 
255 442 865 25 1 12 -232 -376 -2367 
241 439 887 23 -11 10 -220 -371 -2374 
255 428 911 12 7 3 -220 -382 -2367 
232 423 905 8 8 7 -243 -371 -2360 
248 443 882 1 -5 8 -232 -376 -2348 
211 438 898 -24 -20 1 -232 -388 -2361 
266 408 910 -26 -6 4 -232 -376 -2393 
275 453 894 -64 -35 19 -238 -394 -2360 
306 444 832 -23 -40 15 -226 -399 -2374 
314 456 799 -39 -33 18 -232 -405 -2368 
253 404 956 0 16 1 -249 -411 -2381 
278 420 895 9 40 0 -238 -394 -2382 
339 453 791 -119 -19 5 -238 -411 -2362 
342 412 894 -18 -5 25 -232 -423 -2368 
330 413 901 52 26 21 -220 -423 -2362 
356 446 887 65 -5 16 -243 -417 -2381 
307 444 870 41 21 2 -255 -417 -2342 
285 438 882 5 -43 -44 -238 -423 -2374 
312 467 936 16 -51 -58 -232 -388 -2400 
253 462 826 70 -9 -13 -238 -388 -2413 
207 486 814 114 9 32 -249 -388 -2407 
237 475 872 1 -68 16 -249 -376 -2419 
